Post Type,Quarter,Content,Hashtags,Accounts Reached,Accounts Engaged,Impressions,Impressions From Home,Impressions From Profile,Impressions From Hashtags,Impressions From Location,Impressions From Reel,Impressions From Explore,Impressions From Other,Interactions,Likes,Saves,Comments,Shares,Profile Visits,External Link Taps,Follows,Business Address Taps
Meeting Promotion,Winter 2023,"Guest Speaker - Aaron Flores, Assistant Director of Fan Experience and Community Outreach, UCI Athletics",#SBA #SBAUCI #UCI #SportsBusiness #uciathletics,324,29,484,269,175,14,0,0,0,25,37,28,0,2,7,13,0,1,0
Meeting Recap,Winter 2023,"Guest Speaker - Aaron Flores, Assistant Director of Fan Experience and Community Outreach, UCI Athletics",#SBAUCI #SportsBusiness #UCIAthletics #UCI #UCIrvinr,298,27,487,298,155,24,0,0,0,10,28,26,0,0,2,2,0,0,0
Meeting Promotion,Winter 2023,"Guest Speaker - Michael Rueda, Account Executive, LA Galaxy",#SBAUCI #SportsBusiness #UCI #LAGalaxy #Soccer #Sales #AccountExecutive,313,21,480,224,146,80,0,0,0,29,28,18,2,0,8,18,0,0,0
Meeting Recap,Winter 2023,"Guest Speaker - Michael Rueda, Account Executive, LA Galaxy",#SBAUCI #UCI #lagalaxy #SportsBusiness,337,25,513,275,151,64,0,0,0,22,27,24,0,0,3,14,0,1,0
Meeting Promotion,Winter 2023,"Guest Speaker - Adam Do, Communications Game Night Staff, LA Clippers",#SBAUCI #SportsBusiness #UCI #Alumni #LAClippers #Basketball #GameNight #Communications,337,31,458,221,154,46,0,0,0,35,37,29,0,0,8,15,0,0,0
Meeting Recap,Winter 2023,"Guest Speaker - Adam Do, Communications Game Night Staff, LA Clippers",#SBAUCI #SportsBusiness #UCI #Alumni #LAClippers #Basketball #GameNight #Communications,264,24,426,283,128,6,0,0,0,9,25,23,0,1,1,10,1,0,0
Event Promotion,Winter 2023,Social - Rock Climbing,#SBA #SBAUCI #SportsBusiness #UCI #RockClimbing #SenderOne,412,24,589,250,243,44,0,0,0,52,40,21,0,4,15,17,0,0,0
Event Recap,Winter 2023,Social - Rock Climbing,#SBAUCI #SportsBusiness #UCI #Senderone #Senderoneclimbin #RockClimbing #Bouldering,429,45,651,322,264,30,0,0,0,34,51,43,0,5,3,11,0,0,0
Meeting Promotion,Winter 2023,Guest Speaker - LBSA Collab,#SBA #SBAUCI #SportsBusiness #UCI #LBSA #Chargers #BergemanGroup #AccountExecutive,450,34,711,322,246,46,0,0,0,94,49,30,1,3,15,32,0,1,0
Meeting Recap,Winter 2023,Guest Speaker - LBSA Collab,#SBA #SBAUCI #SportsBusiness #UCI #LBSA #Chargers #BergemanGroup #AccountExecutive,246,16,407,244,120,37,0,0,0,6,17,15,1,0,1,5,0,0,0
Meeting Promotion,Winter 2023,"Guest Speaker - Randy Rigali, Group Sales Account Executive, LA Angels",#SBA #SBAUCI #UCI #SportsBusiness #laangels,257,15,386,228,111,25,0,0,0,22,19,14,0,0,5,5,0,0,0
Meeting Recap,Winter 2023,"Guest Speaker - Randy Rigali, Group Sales Account Executive, LA Angels",#SBA #SBAUCI #UCI #SportsBusiness #Sales #Groupsales #laangels #MLB,267,19,428,264,133,25,0,0,0,5,20,19,0,0,1,5,0,0,0
Meeting Promotion,Winter 2023,"Guest Speaker - Richard Anderson, Director of Quantitative Analysis, LA Dodgers",#SBA #SBAUCI #UCI #SportsBusiness #richardanderson #ladodgers,268,24,390,215,146,17,0,0,0,12,30,23,1,1,5,5,0,0,0
Event Promotion,Winter 2023,Facility Tour - Rose Bowl Stadium,#SBA #SBAUCI #SportsBusiness #RoseBowl #RoseBowlStadium #FacilityTour #Pasadena,327,16,460,231,193,13,0,0,0,22,23,14,0,1,8,10,0,0,0
Meeting Promotion,Winter 2023,"Guest Speaker - Richard Anderson, Director of Quantitative Analysis, LA Dodgers",#SBA #SBAUCI #UCI #SportsBusiness #LADodgers #QuantitativeAnalysis,377,29,573,241,278,45,0,0,0,9,30,27,2,0,1,6,0,0,0
Event Recap,Winter 2023,Facility Tour - Rose Bowl Stadium,#SBAUCI #SportsBusiness #UCI #FacilityTour #Rose #goducks,546,68,729,333,237,132,0,0,0,25,75,67,2,1,5,9,0,0,0
Event Promotion,Winter 2023,Social - Bowling,#SBA #SBAUCI #SportsBusiness #UCI #Irvinelanes,350,16,513,216,276,6,0,0,0,12,20,16,0,0,4,6,0,0,0
Event Recap,Winter 2023,Social - Bowling,#SBAUCI #SportsBusiness #UCI #irvinelanes #bowling,406,34,554,259,260,0,0,0,16,11,33,32,0,0,1,10,0,0,0
Announcement,Spring 2023,Quarter Schedule,#SBA #SpringQuarter #EventSchedule,261,24,413,240,157,6,0,0,0,9,24,21,0,0,3,9,0,0,0
Meeting Promotion,Spring 2023,"Guest Speaker - Oscar Alvarez, HR Analyst, LA Rams",#SBA #SportsBusiness #HR #HumanResources #LARams #NFL #HRMA #UCI #UCIRVINE,291,18,401,205,140,48,0,0,0,8,18,15,1,0,2,13,0,0,0
Meeting Recap,Spring 2023,"Guest Speaker - Oscar Alvarez, HR Analyst, LA Rams",#SBA #SportsBusiness #LARams #HR #HRMA,286,26,446,257,135,35,0,0,0,18,30,26,1,1,2,3,0,0,0
Meeting Promotion,Spring 2023,"Guest Speaker - Eric Pincus - National Writer, Bleacher Report",#SBAUCI #SportsBusiness #BleacherReport #NationalWriter,265,21,375,233,123,4,0,0,0,12,26,21,0,2,3,6,0,0,0
Meeting Promotion,Spring 2023,"Guest Speaker - Eric Pincus - National Writer, Bleacher Report",#SBAUCI #SportsBusiness #BleacherReport #SportsBusinessClassroom,226,17,310,204,101,4,0,0,0,1,16,16,0,0,0,1,0,0,0
Meeting Recap,Spring 2023,"Guest Speaker - Eric Pincus - National Writer, Bleacher Report",#SBAUCI #SportsBusiness #SalaryCap #SportsBusinessClassroom,234,22,352,241,104,0,0,0,1,5,23,21,0,0,2,10,0,1,0
Event Promotion,Spring 2023,Facility Tour - SoFi Stadium,#UCI #SBAUCI #SportsBusiness #SofiStadium #facilitytour,270,17,397,202,150,2,0,0,0,42,24,15,0,0,9,9,0,0,0
Meeting Promotion,Spring 2023,"Guest Speaker - Larry Coon, NBA Salary Cap Expert, Sports Business Classroom",#SBA #SportsBusiness #SalaryCap #SportsBusinessClassroom,298,25,406,220,154,0,0,0,4,24,37,23,2,0,12,14,0,1,0
Meeting Promotion,Spring 2023,"Guest Speaker - Larry Coon, NBA Salary Cap Expert, Sports Business Classroom",#SportsBusiness #SBA #UCI #SportsBusinessClassroom #NBA,265,13,350,198,147,3,0,0,0,2,14,12,2,0,0,2,0,0,0
Meeting Recap,Spring 2023,"Guest Speaker - Larry Coon, NBA Salary Cap Expert, Sports Business Classroom",#SBA #SportsBusiness #UCI #SportsBusinessClassroom #NBA,296,26,458,279,160,7,0,0,0,11,29,24,1,3,1,7,0,0,0
Meeting Promotion,Spring 2023,"Guest Speaker - Alicia Jessop, Sports Business Writer, The Athletic",#UCI #SportsBusiness #SBA #TheAthletic #Writing,260,19,371,190,158,8,0,0,0,15,23,17,1,0,5,12,0,0,0
Meeting Promotion,Spring 2023,"Guest Speaker - Alicia Jessop, Sports Business Writer, The Athletic",#SBA #SportsBusiness #UCI #TheAthletic #rulingsports,277,9,399,218,176,2,0,0,0,2,8,7,0,1,0,4,0,0,0
Meeting Recap,Spring 2023,"Guest Speaker - Alicia Jessop, Sports Business Writer, The Athletic",#Sba #SportsBusiness #theathletic #uci #ucisba,303,21,457,220,229,5,0,0,0,2,20,20,0,0,0,3,0,0,0
Event Recap,Spring 2023,Facility Tour - SoFi Stadium,#SBA #SBAUCI #stadiumtour #sofistadium #chargers #rams,470,50,637,260,279,73,0,0,0,22,51,50,0,0,1,9,0,0,0
Meeting Recap,Spring 2023,Guest Speaker - Marketing in Sports Panel,#UCI #SBAUCI #SportsrBusiness #maucirvine #hallpassmedia #intrusivesportsagency,315,21,467,229,226,2,0,0,0,9,22,19,0,1,2,6,0,0,0
Fundraiser Promotion,Spring 2023,Fundraiser - Cha For Tea,,281,16,380,206,149,0,0,0,3,22,22,15,1,0,6,19,0,1,0
Meeting Promotion,Spring 2023,"Guest Speaker - Trent Rush - Broadcaster, LA Angels",#SBA #UCI #SportsBusiness #Angels #Broadcasting,290,13,371,200,133,26,0,0,0,10,14,12,0,0,2,6,0,0,0
Meeting Recap,Spring 2023,"Guest Speaker - Trent Rush - Broadcaster, LA Angels",#SBA #SportsBusiness #UCI #UCIAthletics #Angels #laangels #broadcasting #sportsbroadcasting,277,16,414,245,149,12,0,0,0,6,17,16,0,0,1,8,0,0,0
Meeting Promotion,Spring 2023,"Guest Speaker - Brian Herbst, Senior Vice President of Media and Productions, NASCAR",#SBA #SBAUCI #sportsbusiness #NASCAR #sports,259,15,353,217,118,14,0,0,0,2,17,14,1,0,2,3,0,0,0
Meeting Promotion,Spring 2023,"Guest Speaker - Brian Herbst, Senior Vice President of Media and Productions, NASCAR",#SportsBusiness #UCI #NASCAR #Media #Production,263,11,366,171,190,0,0,0,1,3,11,11,0,0,0,1,0,0,0
Meeting Promotion,Spring 2023,"Guest Speaker - Gabriella Cipolletti, Account Manager of Partnership Services, LA Angels",#laangels #uci #sportsbusiness,303,15,435,216,182,11,0,0,0,26,20,14,1,0,5,12,0,1,0
Meeting Recap,Spring 2023,"Guest Speaker - Gabriella Cipolletti, Account Manager of Partnership Services, LA Angels",#UCI #SportsBusiness,316,22,472,258,210,0,0,0,2,2,24,22,0,0,2,5,0,0,0
Event Promotion,Spring 2023,Social - Bowling,#SBAUCI #SportsBusiness #UCI #irvinelanes #bowling,371,14,562,225,326,3,0,0,0,8,14,13,0,0,1,2,0,0,0
Event Recap,Spring 2023,Social - Bowling,#SBAUCI #SportsBusiness #UCI #irvinelanes #bowling,473,31,731,267,440,0,0,0,5,16,32,30,0,1,1,9,0,0,0
Announcement,Spring 2023,Graduation Class,#sba #uci #classof2023 #graduates,595,48,952,332,551,18,0,0,0,43,60,48,0,8,4,16,1,0,0
Meeting Promotion,Fall 2023,"Guest Speaker - Ben Beeri, Owner/Founder, Golden State Memorabilia",#SBA #SBAUCI #GoldenState #Memorabilia #BenBeeri,485,44,738,361,246,21,0,0,0,107,54,37,2,2,13,63,1,0,1
Meeting Recap,Fall 2023,"Guest Speaker - Ben Beeri, Owner/Founder, Golden State Memorabilia",#SBAUCI #Memorabilia #GoldenStateMemorabilia,330,33,586,384,186,0,0,0,3,13,39,31,1,0,7,15,0,0,0
Meeting Promotion,Fall 2023,"Guest Speaker - Beau Estes, NBA Announcer, Turner Sports",#SBA #SportsBusiness #UCI #TurnerSports,324,31,498,300,163,6,0,0,0,25,34,29,1,0,4,17,1,0,0
Meeting Promotion,Fall 2023,"Guest Speaker - Beau Estes, NBA Announcer, Turner Sports",,305,26,427,265,135,0,0,0,1,26,30,26,1,0,3,25,1,0,0
Meeting Recap,Fall 2023,"Guest Speaker - Beau Estes, NBA Announcer, Turner Sports",#BeauEstes #Goatmentator #TurnerSports #NBATopTen #NBAAnnouncer,310,26,532,343,172,0,0,0,2,14,27,26,0,0,1,8,0,0,0
Meeting Promotion,Fall 2023,"Guest Speaker - Aaron Flores, Assistant Director of Fan Experience and Community Outreach, UCI Athletics",#UCI #SportsBusiness #UCIAthletics #FanExperience,346,20,547,335,174,5,0,0,0,30,26,19,0,2,5,11,0,0,0
Meeting Recap,Fall 2023,"Guest Speaker - Aaron Flores, Assistant Director of Fan Experience and Community Outreach, UCI Athletics",,291,28,580,399,175,0,0,0,3,3,35,28,0,0,7,9,0,0,0
Meeting Promotion,Fall 2023,"Guest Speaker - Sam Averbuck, Director of G-League Operations/Player Development Coordinator, LA Clippers",#SportsBusiness #UCI #LAClippers,377,26,542,320,188,14,0,0,0,12,30,25,1,0,4,12,2,1,0
Meeting Recap,Fall 2023,"Guest Speaker - Sam Averbuck, Director of G-League Operations/Player Development Coordinator, LA Clippers",#SportsBusiness #UCI #LAClippers,279,23,484,324,143,5,0,0,0,8,29,19,1,0,9,6,0,0,0
Event Promotion,Fall 2023,Social - Bowling,#UCI #SportsBusiness #Bowling,293,16,415,195,188,6,0,0,0,23,19,15,1,0,3,14,4,0,0
Event Recap,Fall 2023,Social - Bowling,#sbaucirvine #sbauci #uci #ucirvine #sportsbusiness #bowling #irvinelanes,356,28,456,280,155,12,0,0,0,8,30,27,0,1,2,6,0,0,0
Meeting Promotion,Fall 2023,Social - Trivia Night,#sbauci #sportsbusiness #uci #ucirvine #trivianight #sportsknowledge,279,16,380,182,173,6,0,0,0,19,17,14,1,0,2,6,0,0,0
Announcement,Fall 2023,Executive Board Applications,#sbauci #sportsbusiness #executiveboard #internapps,307,22,406,246,115,2,0,0,0,43,24,20,2,0,2,35,14,0,0
Meeting Promotion,Fall 2023,"Guest Speaker - Anthony Harrison, Community Engagement, LA Rams",#Rams #SBA #UCI #CommunityEngagement,302,31,391,220,133,13,0,0,0,25,40,28,2,0,10,8,1,0,0
Meeting Recap,Fall 2023,"Guest Speaker - Anthony Harrison, Community Engagement, LA Rams",,262,19,367,248,118,0,0,0,0,1,19,18,0,0,1,7,1,0,0
Meeting Promotion,Fall 2023,"Guest Speaker - Sam Shin, Player Attendant, LA Clippers",#sba #uci #LAClippers #alumni #samshin,350,29,4465,270,114,11,0,0,0,64,37,27,1,3,6,23,1,1,0
Event Promotion,Fall 2023,Facility Tour - Dignity Health Sports Park,#lagalaxy #dignityhealthsportspark #facilitytour #sba #uci,261,15,363,192,150,15,0,0,0,6,17,15,0,0,2,9,2,0,0
Meeting Promotion,Fall 2023,"Guest Speaker - Dr. Erkut Sogut, Sports Agent/Lawyer and Founder, Erkut Sogut Academy",#sportsagent #athleterepresentation #erkutsogutacademy #sportsbusiness #sbauci,283,20,380,211,119,6,0,0,0,44,22,16,2,0,4,24,0,1,0
Meeting Recap,Fall 2023,"Guest Speaker - Dr. Erkut Sogut, Sports Agent/Lawyer and Founder, Erkut Sogut Academy",,315,30,447,270,157,0,0,0,0,20,34,29,1,2,2,8,2,0,0
Event Recap,Fall 2023,Facility Tour - Dignity Health Sports Park,,369,42,516,302,182,0,0,0,1,31,44,41,0,0,3,8,1,0,0
